ID,OD,Wall Thickness,Length,Shell Failure
1,1.059055118,0.75,1,2114
1,1.078740157,1,1,2787
1,1.098425197,1.25,1,3449
1,1.118110236,1.5,1,3675
1,1.137795276,1.75,1,4175
1,1.157480315,2,1,4649
1,1.196850394,2.5,1,5523
1,1.236220472,3,1,6312
1,1.275590551,3.5,1,7028
1,1.31496063,4,1,7678
1,1.354330709,4.5,1,8271
1,1.393700787,5,1,8812
1,1.433070866,5.5,1,9309
1,1.472440945,6,1,9766
1,1.511811024,6.5,1,10186
1,1.551181102,7,1,10575
1,1.590551181,7.5,1,10934
1,1.708661417,9,1,11864
1,1.787401575,10,1,12383
